postcode,suburb
872,AMATA
872,ANANGU PITJANTJATJARA YANKUNYTJATJARA
872,AYERS RANGE SOUTH
872,DE ROSE HILL
872,IWANTJA
872,KALKA
872,KALTJITI
872,KANPI
872,LAMBINA
872,MIMILI
872,MURPUTJA
872,NYAPARI
872,PIPALYATJARA
872,PUKATJA
872,TIEYON
872,UMUWA
872,WATARRU
872,WATINUMA
872,YUNYARINYI
5007,WELLAND
5522,FISHERMAN BAY
5522,PORT BROUGHTON
5522,WARD HILL
5558,NALYAPPA
5000,ADELAIDE
5006,NORTH ADELAIDE
5007,BOWDEN
5007,BROMPTON
5007,HINDMARSH
5010,ANGLE PARK
5007,WEST HINDMARSH
5008,CROYDON
5008,CROYDON PARK
5008,DEVON PARK
5008,DUDLEY PARK
5008,RENOWN PARK
5008,RIDLEYTON
5008,WEST CROYDON
5009,ALLENBY GARDENS
5009,BEVERLEY
5009,KILKENNY
5010,FERRYDEN PARK
5010,REGENCY PARK
5011,ST CLAIR
5011,WOODVILLE
5011,WOODVILLE PARK
5011,WOODVILLE SOUTH
5011,WOODVILLE WEST
5012,ATHOL PARK
5012,MANSFIELD PARK
5012,WOODVILLE GARDENS
5012,WOODVILLE NORTH
5013,GILLMAN
5554,MATTA FLAT
5013,OTTOWAY
5013,PENNINGTON
5013,ROSEWATER
5013,WINGFIELD
5014,ALBERT PARK
5014,ALBERTON
5014,CHELTENHAM
5014,HENDON
5014,QUEENSTOWN
5014,ROYAL PARK
5015,BIRKENHEAD
5015,ETHELTON
5015,GARDEN ISLAND
5015,GLANVILLE
5015,NEW PORT
5015,PORT ADELAIDE
5015,TORRENS ISLAND
5016,LARGS BAY
5016,LARGS NORTH
5016,PETERHEAD
5017,OSBORNE
5017,TAPEROO
5038,CAMDEN PARK
5554,NEW TOWN
5018,NORTH HAVEN
5018,OUTER HARBOR
5019,EXETER
5019,SEMAPHORE
5019,SEMAPHORE PARK
5019,SEMAPHORE SOUTH
5020,WEST LAKES SHORE
5021,WEST LAKES
5022,GRANGE
5022,HENLEY BEACH
5022,HENLEY BEACH SOUTH
5034,GOODWOOD
5022,TENNYSON
5023,FINDON
5023,SEATON
5024,FULHAM
5034,KINGS PARK
5038,PLYMPTON
5024,FULHAM GARDENS
5024,WEST BEACH
5025,FLINDERS PARK
5172,WHITES VALLEY
5025,KIDMAN PARK
5031,MILE END
5031,MILE END SOUTH
5031,THEBARTON
5031,TORRENSVILLE
5032,BROOKLYN PARK
5037,NORTH PLYMPTON
5330,HAWKS NEST STATION
5032,LOCKLEYS
5032,UNDERDALE
5033,COWANDILLA
5033,HILTON
5033,MARLESTON
5033,RICHMOND
5033,WEST RICHMOND
5034,CLARENCE PARK
5034,MILLSWOOD
5034,WAYVILLE
5035,ASHFORD
5035,BLACK FOREST
5035,EVERARD PARK
5035,FORESTVILLE
5035,KESWICK
5035,KESWICK TERMINAL
5037,GLANDORE
5037,KURRALTA PARK
5037,NETLEY
5038,PLYMPTON PARK
5038,SOUTH PLYMPTON
5039,CLARENCE GARDENS
5039,EDWARDSTOWN
5039,MELROSE PARK
5040,NOVAR GARDENS
5041,COLONEL LIGHT GARDENS
5041,CUMBERLAND PARK
5041,DAW PARK
5041,PANORAMA
5041,WESTBOURNE PARK
5042,BEDFORD PARK
5042,CLOVELLY PARK
5042,PASADENA
5042,ST MARYS
5042,TONSLEY
5043,ASCOT PARK
5043,MARION
5043,MITCHELL PARK
5043,MORPHETTVILLE
5043,PARK HOLME
